date,PRCP,station,SNOW,SNWD,TMAX,TMIN,WT08,WT16,WT03,WT01,WT18,TSUN,WT02,WT05,PGTM,AWND,FMTM,WDF2,WDF5,WSF2,WSF5,WT13,TAVG,WT07
1961-10-21T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,58.0,49.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
1961-10-22T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,65.0,45.0,1.0,,,1.0,,,,,,,,,,,,,,
1961-10-23T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,77.0,37.0,1.0,,,1.0,,,,,,,,,,,,,,
1961-10-24T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,80.0,46.0,,,,,,,,,,,,,,,,,,
1961-10-25T00:00:00,0.18,GHCND:USW00013897,0.0,0.0,75.0,48.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
1961-10-26T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,60.0,34.0,,,,,,,,,,,,,,,,,,
1961-10-27T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,70.0,27.0,,,,,,,,,,,,,,,,,,
1961-10-28T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,72.0,41.0,,,,,,,,,,,,,,,,,,
1961-10-29T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,79.0,54.0,,,,,,,,,,,,,,,,,,
1961-10-30T00:00:00,0.01,GHCND:USW00013897,0.0,0.0,72.0,58.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
1961-10-31T00:00:00,0.04,GHCND:USW00013897,0.0,0.0,81.0,61.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
1961-11-01T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,80.0,65.0,1.0,1.0,,,,,,,,,,,,,,,,
1961-11-02T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,83.0,66.0,,,,,,,,,,,,,,,,,,
1961-11-03T00:00:00,0.95,GHCND:USW00013897,0.0,0.0,75.0,42.0,,1.0,,1.0,,,,,,,,,,,,,,
1961-11-04T00:00:00,0.04,GHCND:USW00013897,0.0,0.0,55.0,42.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
1961-11-05T00:00:00,0.75,GHCND:USW00013897,0.0,0.0,52.0,46.0,,1.0,,1.0,,,,,,,,,,,,,,
1961-11-06T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,51.0,37.0,,,,,,,,,,,,,,,,,,
1961-11-07T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,56.0,30.0,,,,,,,,,,,,,,,,,,
1961-11-08T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,49.0,31.0,,,,,,,,,,,,,,,,,,
1961-11-09T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,56.0,25.0,,,,,,,,,,,,,,,,,,
1961-11-10T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,69.0,35.0,,,,,,,,,,,,,,,,,,
1961-11-11T00:00:00,0.02,GHCND:USW00013897,0.0,0.0,64.0,48.0,,1.0,,,,,,,,,,,,,,,,
1961-11-12T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,74.0,51.0,,1.0,,,,,,,,,,,,,,,,
1961-11-13T00:00:00,0.45,GHCND:USW00013897,0.0,0.0,67.0,56.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
1961-11-14T00:00:00,0.21,GHCND:USW00013897,0.0,0.0,68.0,58.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
1961-11-15T00:00:00,0.28,GHCND:USW00013897,0.0,0.0,71.0,57.0,,1.0,,1.0,,,,,,,,,,,,,,
1961-11-16T00:00:00,0.24,GHCND:USW00013897,0.0,0.0,71.0,46.0,,1.0,,,,,,,,,,,,,,,,
1961-11-17T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,47.0,34.0,,,,,,,,,,,,,,,,,,
1961-11-18T00:00:00,0.13,GHCND:USW00013897,0.0,0.0,49.0,34.0,,1.0,,1.0,1.0,,,,,,,,,,,,,
1961-11-19T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,42.0,34.0,,1.0,,1.0,,,,,,,,,,,,,,
1961-11-20T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,41.0,34.0,1.0,,,,,,,,,,,,,,,,,
1961-11-21T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,49.0,26.0,,,,,,,,,,,,,,,,,,
1961-11-22T00:00:00,0.27,GHCND:USW00013897,0.0,0.0,59.0,40.0,,1.0,,1.0,,,,,,,,,,,,,,
1961-11-23T00:00:00,0.53,GHCND:USW00013897,0.0,0.0,56.0,42.0,,1.0,,1.0,,,,,,,,,,,,,,
1961-11-24T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,57.0,33.0,1.0,,,1.0,,,,,,,,,,,,,,
1961-11-25T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,69.0,31.0,,,,,,,,,,,,,,,,,,
1961-11-26T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,64.0,51.0,,1.0,,,,,,,,,,,,,,,,
