date,PGTM,station,PRCP,SNOW,SNWD,TMAX,TMIN,WT08,WT01,WT16,WT18,WT03,TSUN,WT02,WT05,AWND,FMTM,WDF2,WSF2,WT13,TAVG,WDF5,WSF5,WT07
1960-12-01T00:00:00,1300.0,GHCND:USW00013743,0.0,0.0,0.0,40.0,28.0,,,,,,,,,,,,,,,,,
1960-12-02T00:00:00,1054.0,GHCND:USW00013743,0.0,0.0,0.0,42.0,27.0,,,,,,,,,,,,,,,,,
1960-12-03T00:00:00,1212.0,GHCND:USW00013743,0.0,0.0,0.0,51.0,28.0,1.0,,,,,,,,,,,,,,,,
1960-12-04T00:00:00,1348.0,GHCND:USW00013743,0.0,0.0,0.0,58.0,27.0,1.0,,,,,,,,,,,,,,,,
1960-12-05T00:00:00,1618.0,GHCND:USW00013743,0.0,0.0,0.0,67.0,41.0,1.0,,,,,,,,,,,,,,,,
1960-12-06T00:00:00,854.0,GHCND:USW00013743,0.0,0.0,0.0,64.0,34.0,1.0,,,,,,,,,,,,,,,,
1960-12-07T00:00:00,1506.0,GHCND:USW00013743,0.0,0.0,0.0,57.0,36.0,1.0,,,,,,,,,,,,,,,,
1960-12-08T00:00:00,1106.0,GHCND:USW00013743,0.0,0.0,0.0,41.0,28.0,,,,1.0,,,,,,,,,,,,,
1960-12-09T00:00:00,136.0,GHCND:USW00013743,0.0,0.0,0.0,32.0,18.0,,,,,,,,,,,,,,,,,
1960-12-10T00:00:00,1348.0,GHCND:USW00013743,0.0,0.0,0.0,47.0,20.0,,,,,,,,,,,,,,,,,
1960-12-11T00:00:00,2212.0,GHCND:USW00013743,0.98,6.8,0.0,42.0,26.0,,,,1.0,,,,,,,,,,,,,
1960-12-12T00:00:00,2342.0,GHCND:USW00013743,0.38,1.7,8.0,26.0,14.0,,,,1.0,,,,,,,,,,,,,
1960-12-13T00:00:00,0.0,GHCND:USW00013743,0.0,0.0,5.0,21.0,11.0,,,,,,,,,,,,,,,,,
1960-12-14T00:00:00,12.0,GHCND:USW00013743,0.0,0.0,5.0,31.0,15.0,1.0,,,,,,,,,,,,,,,,
1960-12-15T00:00:00,1436.0,GHCND:USW00013743,0.0,0.0,5.0,34.0,20.0,1.0,,1.0,,,,,,,,,,,,,,
1960-12-16T00:00:00,1606.0,GHCND:USW00013743,0.0,0.0,4.0,42.0,26.0,1.0,,1.0,,,,,,,,,,,,,,
1960-12-17T00:00:00,30.0,GHCND:USW00013743,0.0,0.0,2.0,38.0,19.0,,,,,,,,,,,,,,,,,
1960-12-18T00:00:00,1212.0,GHCND:USW00013743,0.0,0.0,2.0,35.0,19.0,1.0,,,,,,,,,,,,,,,,
1960-12-19T00:00:00,1548.0,GHCND:USW00013743,0.0,0.0,2.0,39.0,20.0,1.0,,,1.0,,,,,,,,,,,,,
1960-12-20T00:00:00,1442.0,GHCND:USW00013743,0.0,0.0,2.0,32.0,18.0,1.0,,,1.0,,,,,,,,,,,,,
1960-12-21T00:00:00,1518.0,GHCND:USW00013743,0.32,0.0,1.0,36.0,21.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
1960-12-22T00:00:00,18.0,GHCND:USW00013743,0.0,0.0,1.0,23.0,15.0,,,,,,,,,,,,,,,,,
1960-12-23T00:00:00,1148.0,GHCND:USW00013743,0.0,0.0,1.0,26.0,10.0,1.0,,,,,,,,,,,,,,,,
1960-12-24T00:00:00,24.0,GHCND:USW00013743,0.0,0.0,1.0,27.0,14.0,1.0,,,,,,,,,,,,,,,,
1960-12-25T00:00:00,1518.0,GHCND:USW00013743,0.0,0.0,1.0,39.0,19.0,1.0,,,,,,,,,,,,,,,,
1960-12-26T00:00:00,2354.0,GHCND:USW00013743,0.0,0.0,1.0,47.0,24.0,1.0,,1.0,,,,,,,,,,,,,,
1960-12-27T00:00:00,6.0,GHCND:USW00013743,0.0,0.0,0.0,44.0,25.0,,,,,,,,,,,,,,,,,
1960-12-28T00:00:00,242.0,GHCND:USW00013743,0.0,0.0,0.0,27.0,18.0,,,,,,,,,,,,,,,,,
1960-12-29T00:00:00,112.0,GHCND:USW00013743,0.7,0.2,0.0,33.0,25.0,,1.0,1.0,1.0,,,,,,,,,,,,,
1960-12-30T00:00:00,1242.0,GHCND:USW00013743,0.01,0.0,0.0,41.0,30.0,1.0,1.0,1.0,,,,,,,,,,,,,,
1960-10-07T00:00:00,,GHCND:USW00013743,0.0,0.0,0.0,70.0,52.0,,,,,,,,,,,,,,,,,
1961-10-01T00:00:00,1606.0,GHCND:USW00013743,0.0,0.0,0.0,76.0,52.0,1.0,1.0,,,,,,,,,,,,,,,
1961-10-02T00:00:00,1930.0,GHCND:USW00013743,0.23,0.0,0.0,68.0,62.0,,1.0,1.0,,,,,,,,,,,,,,
1961-10-03T00:00:00,1912.0,GHCND:USW00013743,0.06,0.0,0.0,65.0,50.0,,1.0,1.0,,,,,,,,,,,,,,
1961-10-04T00:00:00,6.0,GHCND:USW00013743,0.0,0.0,0.0,61.0,45.0,,,,,,,,,,,,,,,,,
1961-10-05T00:00:00,1506.0,GHCND:USW00013743,0.0,0.0,0.0,68.0,42.0,1.0,1.0,,,,,,,,,,,,,,,
1961-10-06T00:00:00,1142.0,GHCND:USW00013743,0.0,0.0,0.0,77.0,48.0,1.0,1.0,,,,,,,,,,,,,,,
1961-10-07T00:00:00,1812.0,GHCND:USW00013743,0.0,0.0,0.0,79.0,50.0,1.0,,,,,,,,,,,,,,,,
